PHONE,IMEI1,IMEI2,TYPE,START,END,IMSI,TOWER,LATITUDE,LONGITUDE,OPERATORS
9402844267,875183712221565,940293829544366,CALLOUT,2006-08-10 23:38:52,2006-08-10 23:52:30,157459402844267,76112496,28.067044,77.63214,Airtel
9359335202,875183712221565,935942879535301,SMSIN,2006-10-23 23:31:39,2006-10-23 23:31:39,104629359335202,37082444,27.717616,77.339938,Jio
6483779231,221178885897634,648384406879330,CALLIN,2006-12-28 10:10:10,2006-12-28 10:23:14,878046483779231,40898007,27.621462,77.106504,BSNL
7164187728,875183712221565,716425936987827,CALLOUT,2007-02-19 03:10:03,2007-02-19 04:14:14,580357164187728,88499503,27.16225,77.021201,Idea
9049353242,221178885897634,904944373553341,CALLOUT,2007-06-25 00:39:01,2007-06-25 00:57:45,876599049353242,60941994,28.200613,77.150189,Airtel
9776125748,875183712221565,977622350925847,CALLIN,2007-08-13 19:40:47,2007-08-13 20:09:49,364029776125748,72311249,27.390313,76.896697,BSNL
9402844267,221178885897634,940293829544366,SMSIN,2007-12-29 02:48:35,2007-12-29 02:48:35,513519402844267,78573866,28.5252,76.460323,Jio
8145392533,875183712221565,814547398692533,SMSOUT,2008-01-30 20:30:58,2008-01-30 20:30:58,629998145392533,92511245,28.713879,76.08805,Jio
7164187728,221178885897634,716425936987728,CALLIN,2008-02-09 22:17:46,2008-02-09 22:23:09,275197164187728,77192813,27.503815,77.795626,Vodafone
9987364758,136392971142709,998746463164758,SMSIN,2008-02-14 17:34:43,2008-02-14 17:34:43,739399987364758,47948675,28.699934,77.155556,BSNL
9402844267,221178885897634,940293829544267,CALLIN,2008-03-13 08:54:55,2008-03-13 09:58:20,779399402844267,60962398,27.836033,77.522591,BSNL
7164187728,875183712221565,716425936987728,SMSOUT,2008-03-25 18:55:40,2008-03-25 18:55:40,945897164187728,41891372,28.087596,76.96063,Vodafone
6795287320,221178885897634,679535527287320,CALLOUT,2008-03-31 15:29:23,2008-03-31 15:55:53,346936795287320,84117225,27.787225,76.940454,Idea
6483779231,221178885897634,648384406879231,CALLOUT,2008-05-03 16:53:12,2008-05-03 16:58:32,164006483779231,62756988,27.834764,76.822527,Airtel
9049353242,136392971142709,904944373553242,SMSOUT,2008-05-09 18:15:43,2008-05-09 18:15:43,465519049353242,11776193,27.387523,76.462264,Vodafone
6350299575,136392971142709,635036307799575,SMSOUT,2008-06-09 10:56:35,2008-06-09 10:56:35,349886350299575,61497017,27.701719,76.64304,Idea
8168295858,136392971142709,816837754095858,CALLOUT,2008-07-01 10:39:51,2008-07-01 11:09:31,778838168295858,79017493,27.562408,76.487417,Jio
6350299575,221178885897634,635036307799575,CALLIN,2008-10-18 00:48:24,2008-10-18 01:34:12,669396350299575,27200914,28.331439,77.081616,BSNL
6795287320,221178885897634,679535527287320,CALLIN,2008-10-28 03:12:53,2008-10-28 04:17:11,649776795287320,70140663,28.769864,76.812984,Jio
9645947681,875183712221565,964604414047681,SMSOUT,2008-12-21 18:36:16,2008-12-21 18:36:16,679009645947681,45902008,27.702389,76.982939,Idea
8417472535,136392971142709,841755670972535,CALLIN,2009-03-22 17:22:26,2009-03-22 17:56:08,537078417472535,16101143,3.388656,43.78683,Jio
7910281872,221178885897634,791036097481872,SMSIN,2009-03-25 16:09:30,2009-03-25 16:09:30,394547910281872,13658222,-11.5795,35.863277,Airtel
8168295858,136392971142709,816837754095858,SMSOUT,2009-04-12 19:41:00,2009-04-12 19:41:00,449128168295858,26290509,-8.63872,32.800734,Jio
8168295858,221178885897634,816837754095858,SMSIN,2009-06-27 23:47:05,2009-06-27 23:47:05,842338168295858,39649208,-9.609483,36.371633,Idea
9402844267,136392971142709,940293829544267,SMSOUT,2009-10-27 17:50:11,2009-10-27 17:50:11,670259402844267,35945304,-14.808385,25.708618,Airtel
9776125748,875183712221565,977622350925748,CALLIN,2009-11-21 17:43:56,2009-11-21 18:52:58,328179776125748,36059924,-12.406819,32.459049,Idea
7164187728,221178885897634,716425936987728,CALLOUT,2010-05-31 06:58:00,2010-05-31 07:35:41,971587164187728,63154716,-2.377508,35.015923,BSNL
8056179449,221178885897634,805626001079449,CALLIN,2010-06-16 01:36:31,2010-06-16 01:48:57,862378056179449,50007634,-15.274028,34.334302,Vodafone
6483779231,875183712221565,648384406879231,SMSOUT,2010-07-23 01:39:12,2010-07-23 01:39:12,706866483779231,74886940,-0.265611,30.765421,BSNL
7894497327,221178885897634,789457627197327,SMSIN,2010-09-06 06:31:02,2010-09-06 06:31:02,445397894497327,38986198,-10.772975,32.735341,Jio
9940995902,136392971142709,994109531195902,CALLOUT,2010-09-29 13:44:52,2010-09-29 14:59:46,193339940995902,82410885,-9.703207,35.004217,Idea
8417472535,875183712221565,841755670972535,SMSIN,2010-10-09 22:16:38,2010-10-09 22:16:38,948978417472535,32586534,-15.595017,31.741541,Idea
9359335202,875183712221565,935942879535202,SMSIN,2011-06-15 23:09:55,2011-06-15 23:09:55,557529359335202,56807908,-5.163691,41.803127,Idea
7362249677,875183712221565,736232329949677,SMSIN,2011-07-11 10:48:26,2011-07-11 10:48:26,341737362249677,95063749,-10.999091,28.005787,Airtel
